patch_id,source,bug_type,difficulty,paired_patch,descriptions_written,parity_checked,diff_lines
patch_001,manual,incomplete_fix,easy,patch_001,yes,yes,3
patch_002,manual,off_by_one,medium,patch_002,yes,yes,8
patch_003,manual,race_condition,hard,patch_003,yes,yes,5
patch_004,manual,exception_swallowing,medium,patch_004,yes,yes,7
patch_005,manual,timezone_mismatch,hard,patch_005,yes,yes,5
patch_006,manual,silent_failure,medium,patch_006,yes,yes,9
patch_007,manual,sql_injection,easy,patch_007,yes,yes,3
patch_008,manual,stale_cache,medium,patch_008,yes,yes,11
patch_009,manual,encoding_error,hard,patch_009,yes,yes,2
patch_010,manual,mutation_during_iteration,medium,patch_010,yes,yes,6
patch_011,manual,mutable_default_argument,easy,patch_011,yes,yes,5
patch_012,manual,incomplete_validation,medium,patch_012,yes,yes,3
patch_013,manual,shallow_copy,hard,patch_013,yes,yes,7
patch_014,manual,toctou_race,medium,patch_014,yes,yes,8
patch_015,manual,integer_division,medium,patch_015,yes,yes,3
patch_016,manual,lost_update,hard,patch_016,yes,yes,10
patch_017,manual,wrong_sort_key,medium,patch_017,yes,yes,3
patch_018,manual,open_redirect,medium,patch_018,yes,yes,5
patch_019,manual,date_arithmetic,medium,patch_019,yes,yes,4
patch_020,manual,inconsistent_normalization,medium,patch_020,yes,yes,4
patch_021,injected,logic_inversion,hard,patch_021,yes,yes,5
patch_022,injected,dropped_decoding,medium,patch_022,yes,yes,9
patch_023,injected,off_by_one,medium,patch_023,yes,yes,6
patch_024,injected,strict_parsing,medium,patch_024,yes,yes,6
patch_025,injected,dropped_edge_case,medium,patch_025,yes,yes,10
patch_026,injected,dropped_edge_case,medium,patch_026,yes,yes,2
patch_027,injected,greedy_regex,hard,patch_027,yes,yes,2
patch_028,injected,no_op_implementation,medium,patch_028,yes,yes,2
patch_029,injected,dropped_error_handling,hard,patch_029,yes,yes,11
patch_030,injected,naive_parsing,medium,patch_030,yes,yes,10
patch_031,injected,falsy_zero_conflation,hard,patch_031,yes,yes,3
patch_032,injected,dropped_fallback,medium,patch_032,yes,yes,6
patch_033,injected,double_encoding,medium,patch_033,yes,yes,8
patch_034,injected,error_masking,hard,patch_034,yes,yes,2
patch_035,injected,ignored_parameter,medium,patch_035,yes,yes,2
patch_036,injected,dropped_guard,medium,patch_036,yes,yes,3
patch_037,manual,path_traversal,hard,patch_037,yes,yes,7
patch_038,manual,assert_for_validation,medium,patch_038,yes,yes,6
patch_039,manual,float_equality,medium,patch_039,yes,yes,6
patch_040,manual,resource_leak,medium,patch_040,yes,yes,6
patch_041,manual,shared_class_attribute,hard,patch_041,yes,yes,7
patch_042,manual,early_return_in_loop,medium,patch_042,yes,yes,5
patch_043,manual,operator_precedence,medium,patch_043,yes,yes,3
patch_044,injected,swapped_operands,medium,patch_044,yes,yes,2
patch_045,injected,dropped_branch,medium,patch_045,yes,yes,4
patch_046,injected,dropped_set_member,hard,patch_046,yes,yes,2
patch_047,injected,greedy_regex,medium,patch_047,yes,yes,2
patch_048,injected,wrong_default,medium,patch_048,yes,yes,2
patch_049,injected,whitespace_handling,medium,patch_049,yes,yes,2
patch_050,injected,dropped_typecheck,medium,patch_050,yes,yes,3
