outcome,model,term,or,or_lo,or_hi,p,cl_or,cl_p,p_holm
approved,Qwen/Qwen2.5-72B-Instruct,cond[confident],1.261954658030105,0.9993519430263118,1.59356227807119,0.05063997654498492,24.8118889999814,0.003871798530989782,0.15191992963495476
approved,Qwen/Qwen2.5-72B-Instruct,cond[confident_extra_neutral],1.4187192118226664,1.0440265214746494,1.9278860839203318,0.02539602347172689,74.89759518945041,0.0002020449106000218,0.10158409388690756
approved,Qwen/Qwen2.5-72B-Instruct,cond[unsupported_claims],2.3971462544589976,1.4773490021942661,3.8896091287380052,0.00039984475956125537,4243.218356157932,5.464277990429175e-10,0.002399068557367532
approved,meta-llama/Llama-3.3-70B-Instruct,cond[confident],0.8936558094312103,0.7118810689581748,1.1218456854020837,0.332528539632716,0.45319808475129025,0.10214463764723936,0.665057079265432
approved,meta-llama/Llama-3.3-70B-Instruct,cond[confident_extra_neutral],0.9683062880324544,0.7108381483906013,1.3190303159249912,0.8381839361355334,0.8058831460855723,0.6424422690109384,0.8381839361355334
approved,meta-llama/Llama-3.3-70B-Instruct,cond[unsupported_claims],1.9558823529411757,1.3370489330298432,2.8611337132425834,0.0005469533456646203,179.00208998353463,1.5155501310397316e-06,0.0027347667283231015
detected,Qwen/Qwen2.5-72B-Instruct,cond[confident],0.8727827856935152,0.6580358454584758,1.1576113919329056,0.3450283260727276,0.49087318916193584,0.11998732378053549,0.8132316681911251
detected,Qwen/Qwen2.5-72B-Instruct,cond[confident_extra_neutral],0.7533543804262035,0.5568339190513116,1.019231772867361,0.06629176237442438,0.24076908429603805,0.001948474554572004,0.26516704949769754
detected,Qwen/Qwen2.5-72B-Instruct,cond[unsupported_claims],0.4621815870532438,0.30959877512253275,0.6899633867301705,0.00015980657163832258,0.018745748071878718,6.2703120669737e-12,0.0009588394298299355
detected,meta-llama/Llama-3.3-70B-Instruct,cond[confident],1.1223776223776227,0.9137966543516888,1.3785687671485154,0.27107722273037504,2.4570631331778525,0.08286770040149098,0.8132316681911251
detected,meta-llama/Llama-3.3-70B-Instruct,cond[confident_extra_neutral],1.0684931506849318,0.7940066373820875,1.437869105005001,0.6618781089483445,1.6439095309169311,0.32201815311751925,0.8132316681911251
detected,meta-llama/Llama-3.3-70B-Instruct,cond[unsupported_claims],0.6186440677966116,0.44965121540136566,0.8511496678115644,0.0031776333241151336,0.0465845247429579,3.351308216149272e-07,0.01588816662057567
