or,or_lo,or_hi,p,model,target,p_holm
1.9483858911239982e-15,7.858102296536722e-20,4.8309470117284514e-11,5.3421287494805866e-11,Qwen2.5-14B-Instruct,B,4.2737029995844693e-10
0.39463124394631327,0.1402483355053766,1.1104147378108764,0.07814657157810039,Qwen2.5-32B-Instruct,B,0.07814657157810039
0.31034482758620713,0.1698349971987056,0.5671028562907215,0.00014234883981966158,Qwen2.5-3B-Instruct,B,0.0006465155205817041
0.558861984558316,0.3288432767129252,0.9497737673290357,0.03152246461315406,Qwen2.5-72B-Instruct,B,0.06304492922630812
0.19577488447873934,0.1088914575367611,0.3519817464076508,5.073622434799421e-08,Qwen2.5-7B-Instruct,B,3.551535704359595e-07
0.5358137541955303,0.340469165102982,0.8432375340018526,0.006998168190203542,gemma-2-9b-it,B,0.020994504570610625
0.4569529470305984,0.30599426390628326,0.6823853268827934,0.0001293031041163408,Llama-3.3-70B-Instruct,B,0.0006465155205817041
0.2685437296750943,0.15333611594678337,0.47031147425723574,4.257913935908239e-06,Meta-Llama-3.1-8B-Instruct,B,2.5547483615449436e-05
6.336852566245448e-16,,,,Qwen2.5-14B-Instruct,B2,
0.490788954459545,0.25790540893725106,0.93396179169743,0.03015284058010623,Qwen2.5-32B-Instruct,B2,0.04080681117659955
0.38340458832262114,0.21905965776615854,0.6710458687183604,0.0007885514610484701,Qwen2.5-3B-Instruct,B2,0.0031542058441938804
0.5543872702589806,0.33672538142581004,0.9127474861675094,0.020403405588299776,Qwen2.5-72B-Instruct,B2,0.04080681117659955
0.24742057050771138,0.14452623136790224,0.4235697432290276,3.5496833715617547e-07,Qwen2.5-7B-Instruct,B2,2.4847783600932284e-06
0.5292016114247374,0.3530564645076905,0.7932282048001941,0.0020581969387219773,gemma-2-9b-it,B2,0.006174590816165932
0.38192800266816407,0.23788293715154044,0.6131965620096959,6.760097084728741e-05,Llama-3.3-70B-Instruct,B2,0.00033800485423643705
0.32034233982333965,0.18562134967129368,0.5528416578438556,4.3370500346036074e-05,Meta-Llama-3.1-8B-Instruct,B2,0.00026022300207621644
