model,cond_a,cond_b,p_value
Qwen2.5-14B-Instruct,hedged,confident,1.0
Qwen2.5-14B-Instruct,hedged,confident_extra_neutral,1.0
Qwen2.5-14B-Instruct,hedged,unsupported_claims,0.125
Qwen2.5-14B-Instruct,confident,unsupported_claims,0.25
Qwen2.5-32B-Instruct,hedged,confident,0.25
Qwen2.5-32B-Instruct,hedged,confident_extra_neutral,0.625
Qwen2.5-32B-Instruct,hedged,unsupported_claims,0.0156
Qwen2.5-32B-Instruct,confident,unsupported_claims,0.125
Qwen2.5-3B-Instruct,hedged,confident,0.0312
Qwen2.5-3B-Instruct,hedged,confident_extra_neutral,0.0005
Qwen2.5-3B-Instruct,hedged,unsupported_claims,0.0
Qwen2.5-3B-Instruct,confident,unsupported_claims,0.0001
Qwen2.5-7B-Instruct,hedged,confident,0.0625
Qwen2.5-7B-Instruct,hedged,confident_extra_neutral,0.0018
Qwen2.5-7B-Instruct,hedged,unsupported_claims,0.0001
Qwen2.5-7B-Instruct,confident,unsupported_claims,0.0039
gemma-2-9b-it,hedged,confident,0.0312
gemma-2-9b-it,hedged,confident_extra_neutral,0.0039
gemma-2-9b-it,hedged,unsupported_claims,0.001
gemma-2-9b-it,confident,unsupported_claims,0.0625
Meta-Llama-3.1-8B-Instruct,hedged,confident,0.001
Meta-Llama-3.1-8B-Instruct,hedged,confident_extra_neutral,0.0001
Meta-Llama-3.1-8B-Instruct,hedged,unsupported_claims,0.0001
Meta-Llama-3.1-8B-Instruct,confident,unsupported_claims,0.375
